127.0.0.1 - - [01/Oct/2018:14:15:44 +0200] "GET / HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:15:44 +0200] "GET /Oblig2_oppg1/ HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:15:44 +0200] "GET /Oblig2_oppg1/ HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:15:48 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:15:48 +0200] "GET /Oblig2_oppg1/Innlogging?feil=%27ja%27 HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:15:51 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:15:51 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:16:04 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:16:04 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:16:29 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:16:29 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:16:32 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:16:32 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:16:33 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:16:33 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:16:36 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:16:36 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:16:37 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:16:37 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:21:08 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:21:08 +0200] "GET /Oblig2_oppg1/Innlogging?notLoggedIn HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:21:11 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:21:11 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:21:15 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:21:15 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:21:24 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:21:24 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:21:26 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
